1930,1930-07-13T09:00:00.000+09:00, 15:00 ,Group 1,Pocitos,Montevideo ,Uruguay,France,4,1,Mexico, 
1930,1930-07-13T09:00:00.000+09:00, 15:00 ,Group 4,Parque Central,Montevideo ,Uruguay,USA,3,0,Belgium, 
1930,1930-07-15T09:00:00.000+09:00, 16:00 ,Group 1,Parque Central,Montevideo ,Uruguay,Argentina,1,0,France, 
1930,1930-07-17T09:00:00.000+09:00, 12:45 ,Group 2,Parque Central,Montevideo ,Uruguay,Yugoslavia,4,0,Bolivia, 
1930,1930-07-17T09:00:00.000+09:00, 14:45 ,Group 4,Parque Central,Montevideo ,Uruguay,USA,3,0,Paraguay, 
1930,1930-07-19T09:00:00.000+09:00, 12:50 ,Group 1,Estadio Centenario,Montevideo ,Uruguay,Chile,1,0,France, 
1954,1954-06-17T08:30:00.000+08:30, 17:50 ,Group 4,La Pontaise,Lausanne ,Switzerland,Switzerland,2,1,Italy, 
1954,1954-06-17T08:30:00.000+08:30, 18:00 ,Group 2,Hardturm,Zurich ,Switzerland,Hungary,9,0,Korea Republic, 
1954,1954-06-17T08:30:00.000+08:30, 18:00 ,Group 2,Wankdorf Stadium,Berne ,Switzerland,Germany FR,4,1,Turkey, 
1954,1954-06-17T08:30:00.000+08:30, 18:10 ,Group 4,St. Jakob,Basel ,Switzerland,England,4,4,Belgium, 
1954,1954-06-20T08:30:00.000+08:30, 16:50 ,Group 2,St. Jakob,Basel ,Switzerland,Hungary,8,3,Germany FR, 
1930,1930-07-14T09:00:00.000+09:00, 12:45 ,Group 2,Parque Central,Montevideo ,Uruguay,Yugoslavia,2,1,Brazil, 
1930,1930-07-14T09:00:00.000+09:00, 14:50 ,Group 3,Pocitos,Montevideo ,Uruguay,Romania,3,1,Peru, 
1930,1930-07-16T09:00:00.000+09:00, 14:45 ,Group 1,Parque Central,Montevideo ,Uruguay,Chile,3,0,Mexico, 
1930,1930-07-18T09:00:00.000+09:00, 14:30 ,Group 3,Estadio Centenario,Montevideo ,Uruguay,Uruguay,1,0,Peru, 
1954,1954-06-16T08:30:00.000+08:30, 18:00 ,Group 1,La Pontaise,Lausanne ,Switzerland,Yugoslavia,1,0,France, 
1954,1954-06-19T08:30:00.000+08:30, 16:50 ,Group 3,St. Jakob,Basel ,Switzerland,Uruguay,7,0,Scotland, 
1954,1954-06-19T08:30:00.000+08:30, 17:00 ,Group 1,La Pontaise,Lausanne ,Switzerland,Brazil,1,1,Yugoslavia, 
1954,1954-06-19T08:30:00.000+08:30, 17:00 ,Group 3,Hardturm,Zurich ,Switzerland,Austria,5,0,Czechoslovakia, 
1954,1954-06-19T08:30:00.000+08:30, 17:10 ,Group 1,Charmilles,Geneva ,Switzerland,France,3,2,Mexico, 